dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/hioki/,the number of files,10,optimal reference,2-2-002_004.csv,
0.000000000000000000e+00,5.122162766995549532e+01,5.333453777043296640e+01,7.952451269263302436e+01,1.029660011761020399e+02,1.404329307489068412e+02,1.187990986835253011e+02,1.111714028033012340e+02,1.582460569519392948e+02,1.649296719362921237e+02
5.944231826313147593e+01,0.000000000000000000e+00,6.559269692730076429e+01,9.990021794409133804e+01,1.120487614635741238e+02,1.544575400272550496e+02,1.221515123682735009e+02,1.144702147912136496e+02,1.810011392515035027e+02,1.898096172048276458e+02
5.069889137032789250e+01,5.623972745511631643e+01,0.000000000000000000e+00,5.947300393630804649e+01,6.777099204356899520e+01,1.139258508054106898e+02,1.069013680132700443e+02,9.941326129125143041e+01,1.355647119469821007e+02,1.500716005258892096e+02
5.524335222584086580e+01,5.433336989805302153e+01,4.379640004131337605e+01,0.000000000000000000e+00,5.962389357619253616e+01,7.382656010674163838e+01,7.791735168684174084e+01,7.750729244716875144e+01,1.037608559053692545e+02,1.108279345946558152e+02
9.623002019802092377e+01,8.613559790958544227e+01,7.570285488967302001e+01,7.883447394714482925e+01,0.000000000000000000e+00,8.487521144125294370e+01,1.005524263504053266e+02,6.721094144412560922e+01,1.270048895030524676e+02,1.445980893572444472e+02
1.967095070272375494e+02,1.845196622625145721e+02,1.971165857149803458e+02,1.956610263730217127e+02,1.859314046713221842e+02,0.000000000000000000e+00,2.324036218983594893e+02,1.932809845721259876e+02,2.516358124837708772e+02,2.473708100036034523e+02
6.938044627381107432e+01,5.260991174711747931e+01,7.240252993132719439e+01,6.771484222410401799e+01,6.424447605127379290e+01,8.421998560900053121e+01,0.000000000000000000e+00,4.087081714412848044e+01,6.395696971897506700e+01,6.248728118957188116e+01
1.004368341621896690e+02,7.959466201645605565e+01,9.953962005566361881e+01,9.532778727461464996e+01,6.452326044605871402e+01,9.494911299154315998e+01,7.275283285411178724e+01,0.000000000000000000e+00,1.154000661481215957e+02,1.323279137706615813e+02
2.202322884841572375e+02,2.120347739848615447e+02,2.247414298694718866e+02,2.142426852122901835e+02,1.981750278164178098e+02,1.687030238043730037e+02,1.969048387461081688e+02,1.790544168766701318e+02,0.000000000000000000e+00,6.506554313297780823e+01
1.386725478226036046e+02,1.272024950094264568e+02,1.500478890079046437e+02,1.312130733987361282e+02,1.336324778884850275e+02,1.070298980669103628e+02,1.134395732088716215e+02,1.178044493956370928e+02,5.221651787655236632e+01,0.000000000000000000e+00
